Target,Source,Weight
meetjunsu,JingsongLi,4
florianschmidt1994,zentol,4
walterddr,yanghua,4
leonardBang,libenchao,4
PatrickRen,zentol,4
wujinhu,JingsongLi,4
aljoscha,twalthr,4
slinkydeveloper,fapaul,4
wsry,tillrohrmann,4
aljoscha,AHeise,4
yanghua,klion26,4
zentol,snuyanzin,4
Jiayi-Liao,pnowojski,4
yanghua,hequn8128,4
tsreaper,zentol,4
tisonkun,azagrebin,4
zentol,xintongsong,4
JasonLeeCoding,fsk119,4
rkhachatryan,wuchong,4
zentol,zhuzhurk,4
NicoK,twalthr,4
zhangminglei,greghogan,4
dannycranmer,CrynetLogistics,3
wuchong,tillrohrmann,3
tillrohrmann,twalthr,3
V1ncentzzZ,wuchong,3
wuchong,sjwiesman,3
Thesharing,zentol,3
wuchong,rmetzger,3
dannycranmer,vahmed-hamdy,3
knaufk,1u0,3
dannycranmer,dzikosc,3
knaufk,dawidwys,3
Tartarus0zm,zentol,3
qqibrow,tillrohrmann,3
Vancior,HuangXingBo,3
kezhuw,tillrohrmann,3
bowenli86,sjwiesman,3
walterddr,hequn8128,3
alpinegizmo,sjwiesman,3
kezhuw,StephanEwen,3
pnowojski,alpinegizmo,3
wanglijie95,wangyang0918,3
kezhuw,dawidwys,3
aljoscha,pnowojski,3
pnowojski,fhueske,3
pnowojski,SteNicholas,3
pnowojski,GJL,3
carp84,Myasuka,3
carp84,StephanEwen,3
tsreaper,tillrohrmann,3
carp84,pnowojski,3
wangxlong,libenchao,3
vthinkxie,zentol,3
bowenli86,kl0u,3
carp84,tzulitai,3
tzulitai,carp84,3
tweise,SteNicholas,3
tweise,jgrier,3
tweise,stevenzwu,3
tweise,tillrohrmann,3
tzulitai,EronWright,3
tzulitai,StephanEwen,3
tzulitai,bowenli86,3
jrthe42,twalthr,3
vijikarthi,mxm,3
tzulitai,dawidwys,3
azagrebin,aljoscha,3
blublinsky,wangyang0918,3
jrthe42,wuchong,3
pnowojski,sunhaibotb,3
bowenli86,aljoscha,3
victorunique,Myasuka,3
tsreaper,slinkydeveloper,3
jinmingjian,StephanEwen,3
tillrohrmann,zhangminglei,3
Xeli,becketqin,3
wenlong88,zjuwangg,3
kl0u,twalthr,3
XuQianJin-Stars,klion26,3
tisonkun,yanghua,3
javacaoyu,dianfu,3
cshuo,tsreaper,3
cuibo01,Airblader,3
XComp,wangyang0918,3
wenlong88,pnowojski,3
klion26,StephanEwen,3
klion26,aljoscha,3
klion26,azagrebin,3
wuchong,bowenli86,3
wuchong,carp84,3
WeiZhong94,twalthr,3
WeiZhong94,aljoscha,3
jerry-024,hejianchao,3
jerry-024,vthinkxie,3
akalash,zentol,3
afedulov,MartijnVisser,3
wangyang0918,azagrebin,3
qinjunjerry,sjwiesman,3
wangyang0918,sjwiesman,3
wangyang0918,walterddr,3
chaojianok,wuchong,3
afedulov,alpinegizmo,3
kl0u,StefanRRichter,3
chaozwn,leonardBang,3
Zakelly,carp84,3
kl0u,igalshilman,3
tragicjun,twalthr,3
ZhijieYang,RocMarshal,3
ZhangChaoming,slinkydeveloper,3
jgrier,tweise,3
wenhuitang,yanghua,3
piyushnarang,tillrohrmann,3
tillrohrmann,pnowojski,3
mans2singh,JingsongLi,3
JingsongLi,cshuo,3
zentol,Airblader,3
sunjincheng121,WeiZhong94,3
mushketyk,iampeter,3
mushketyk,fhueske,3
CrynetLogistics,vahmed-hamdy,3
gaoyunhaii,zentol,3
MartijnVisser,Airblader,3
eaglewatcherwb,Ryantaocer,3
rmetzger,dawidwys,3
ljz2051,Myasuka,3
gaoyunhaii,curcur,3
zhuzhurk,Thesharing,3
matriv,zentol,3
gaoyunhaii,KarmaGYZ,3
echauchot,MartijnVisser,3
rmetzger,knaufk,3
suez1224,fhueske,3
EronWright,twalthr,3
EronWright,zentol,3
rmetzger,nicoweidner,3
LadyForest,fsk119,3
yxu-valleytider,tweise,3
KurtYoung,wuchong,3
KurtYoung,godfreyhe,3
zhuxiaoshang,libenchao,3
KarmaGYZ,wuchong,3
zjffdu,yanghua,3
docete,twalthr,3
CrynetLogistics,fapaul,3
dmvk,mxm,3
Myracle,xintongsong,3
igalshilman,tillrohrmann,3
Myracle,tillrohrmann,3
igalshilman,kl0u,3
Myracle,MartijnVisser,3
luoyuxia,beyond1920,3
shuai-xu,StephanEwen,3
ifndef-SleePy,zentol,3
Myasuka,sjwiesman,3
AjaxXu,JingsongLi,3
luoyuxia,JingsongLi,3
zjuwangg,wenlong88,3
Clarkkkkk,tisonkun,3
BorisOsipov,zentol,3
yangjunhan,twalthr,3
mxm,tweise,3
lincoln-lil,godfreyhe,3
yew1eb,greghogan,3
MonsterChenzhuo,RocMarshal,3
ChrisChinchilla,greghogan,3
sihuazhou,GJL,3
sihuazhou,aljoscha,3
mxm,aljoscha,3
rmetzger,Myasuka,3
lirui-apache,zentol,3
zentol,HuangXingBo,3
syhily,fapaul,3
rmetzger,xintongsong,3
ruanhang1993,PatrickRen,3
smattheis,pnowojski,3
zentol,yuqi1129,3
hequn8128,zentol,3
zentol,zhangminglei,3
Jiayi-Liao,Myasuka,3
sjwiesman,twalthr,3
zhangjun0x01,JingsongLi,3
zhijiangW,uce,3
Guibo-Pan,yanghua,3
JasonLeeCoding,wuchong,3
hequn8128,wuchong,3
zhijiangW,StephanEwen,3
zhangminglei,StephanEwen,3
zhijiangW,1u0,3
JackWangCS,lirui-apache,3
ruanhang1993,leonardBang,3
florianschmidt1994,kl0u,3
HuangXingBo,rmetzger,3
metaswirl,dmvk,3
HuangZhenQiu,xuefuz,3
HuangZhenQiu,xintongsong,3
HuangZhenQiu,wangyang0918,3
zhangminglei,yanghua,3
liuyongvs,godfreyhe,3
fapaul,twalthr,3
zentol,wuchong,3
fapaul,tillrohrmann,3
sjwiesman,fhueske,3
zentol,KarmaGYZ,3
lishim,tillrohrmann,3
zhuxiaoshang,fsk119,3
zhuxiaoshang,XComp,3
fsk119,twalthr,3
JingsongLi,rmetzger,3
hequn8128,becketqin,3
highfei2011,tisonkun,3
sjwiesman,dawidwys,3
mbode,zentol,3
snuyanzin,matriv,3
GJL,kl0u,3
zhisheng17,wuchong,3
snuyanzin,fhueske,3
fpompermaier,wuchong,3
JingGe,Airblader,3
fapaul,mas-chen,3
Jiayi-Liao,zentol,3
Jiayi-Liao,yanghua,3
zentol,slinkydeveloper,3
Jiayi-Liao,twalthr,3
rtudoran,sunjincheng121,3
Jiayi-Liao,tillrohrmann,3
Jiayi-Liao,klion26,3
yanghua,tzulitai,3
MrWhiteSike,RocMarshal,3
sky-walking,fapaul,3
tillrohrmann,Jiayi-Liao,3
AHeise,1u0,3
dawidwys,xuefuz,3
AHeise,dannycranmer,3
openinx,zentol,3
shixiaogang,StephanEwen,3
tillrohrmann,NicoK,3
xuefuz,KurtYoung,3
xiaolong-sn,dannycranmer,3
shenzhu,snuyanzin,3
RyanSkraba,zentol,3
rkhachatryan,klion26,3
deadwind4,HuangXingBo,3
StephanEwen,bowenli86,3
greghogan,fhueske,3
shenzhu,slinkydeveloper,3
deadwind4,MartijnVisser,3
mans2singh,Airblader,3
greghogan,StephanEwen,3
StephanEwen,pnowojski,3
StephanEwen,rmetzger,3
SteNicholas,Airblader,3
StephanEwen,Myasuka,3
1u0,StefanRRichter,3
Aitozi,dawidwys,3
StefanRRichter,dawidwys,3
xintongsong,gaoyunhaii,3
StefanRRichter,bowenli86,3
StefanRRichter,kl0u,3
zuston,tillrohrmann,3
